layout_name,sequence,group_frequency,word_count,words
qwerty_derived_control,8-3,15742702665,2,"[[""of"", 13151952775], [""or"", 2590749890]]"
qwerty_derived_control,3-8,12137000733,2,"[[""to"", 12136990855], [""go"", 9878]]"
qwerty_derived_control,0,9081203550,3,"[[""a"", 9081184694], [""q"", 9442], [""z"", 9414]]"
qwerty_derived_control,3-8-3,5933341168,2,"[[""for"", 5933331703], [""got"", 9465]]"
qwerty_derived_control,7-3,4005122410,2,"[[""it"", 2813173859], [""if"", 1191948551]]"
qwerty_derived_control,1-7-3-6,3183130384,2,"[[""with"", 3183120663], [""sign"", 9721]]"
qwerty_derived_control,7,3086244884,2,"[[""i"", 3086235264], [""k"", 9620]]"
qwerty_derived_control,6-8-6,2996200632,2,"[[""you"", 2996191011], [""non"", 9621]]"
qwerty_derived_control,6-8-3,2633525596,4,"[[""not"", 2633497125], [""job"", 9572], [""hot"", 9514], [""nov"", 9385]]"
qwerty_derived_control,3-2,2398744025,2,"[[""be"", 2398734144], [""re"", 9881]]"
qwerty_derived_control,0-3-2,2393634272,2,"[[""are"", 2393624851], [""age"", 9421]]"
qwerty_derived_control,0-6,2094722776,2,"[[""an"", 1518276656], [""am"", 576446120]]"
qwerty_derived_control,8-6-3,1744916061,2,"[[""our"", 998767939], [""out"", 746148122]]"
qwerty_derived_control,6-0-3-2,1564222130,2,"[[""have"", 1564212725], [""hard"", 9405]]"
qwerty_derived_control,6-2-1,1551278134,2,"[[""new"", 1551268617], [""yes"", 9517]]"
qwerty_derived_control,6-8-3-2,1544796187,2,"[[""more"", 1544781646], [""note"", 14541]]"
qwerty_derived_control,6-2,1412053507,2,"[[""he"", 842857167], [""me"", 569196340]]"
qwerty_derived_control,3-7-6-2,1410768460,2,"[[""time"", 908715521], [""find"", 502052939]]"
qwerty_derived_control,2-0-6,1242343354,2,"[[""can"", 1242333466], [""day"", 9888]]"
qwerty_derived_control,2,1189739091,3,"[[""c"", 596633159], [""e"", 593096089], [""d"", 9843]]"
qwerty_derived_control,6-8-1,1183255715,2,"[[""now"", 611397662], [""how"", 571858053]]"
qwerty_derived_control,3-6-3,1004319086,2,"[[""but"", 1004307128], [""bug"", 11958]]"
qwerty_derived_control,2-8,911882155,2,"[[""do"", 911872837], [""co"", 9318]]"
qwerty_derived_control,3-6-2-6,883253426,3,"[[""they"", 883233710], [""them"", 9868], [""then"", 9848]]"
qwerty_derived_control,6-0-6,827851413,3,"[[""may"", 827831978], [""jan"", 9847], [""man"", 9588]]"
best_random_layout,8,9081194394,2,"[[""a"", 9081184694], [""g"", 9700]]"
best_random_layout,1,3086254622,3,"[[""i"", 3086235264], [""l"", 9738], [""k"", 9620]]"
best_random_layout,9-6-6-2,2275624552,3,"[[""from"", 2275605336], [""form"", 9633], [""food"", 9583]]"
best_random_layout,9-6-3-6,2062085925,2,"[[""your"", 2062076524], [""four"", 9401]]"
best_random_layout,5-6,910652082,2,"[[""no"", 910642764], [""co"", 9318]]"
best_random_layout,2-8-9,827841866,2,"[[""may"", 827831978], [""day"", 9888]]"
best_random_layout,5-6-4,611407047,2,"[[""now"", 611397662], [""nov"", 9385]]"
best_random_layout,5,596652919,3,"[[""c"", 596633159], [""n"", 9883], [""b"", 9877]]"
best_random_layout,7,593106000,2,"[[""e"", 593096089], [""s"", 9911]]"
best_random_layout,2-7,569206154,2,"[[""me"", 569196340], [""de"", 9814]]"
best_random_layout,3,508638799,3,"[[""x"", 508619426], [""p"", 9795], [""u"", 9578]]"
best_random_layout,2,29261,3,"[[""d"", 9843], [""m"", 9834], [""j"", 9584]]"
best_random_layout,0,28984,3,"[[""t"", 9861], [""h"", 9681], [""q"", 9442]]"
best_random_layout,4,28791,3,"[[""w"", 9735], [""v"", 9642], [""z"", 9414]]"
best_random_layout,2-3-7-0,19675,2,"[[""just"", 9892], [""must"", 9783]]"
best_random_layout,6,19554,2,"[[""r"", 9822], [""o"", 9732]]"
best_random_layout,7-2-8-1-1,19537,2,"[[""email"", 9886], [""small"", 9651]]"
best_random_layout,0-0-6-7-7,19450,2,"[[""those"", 9763], [""three"", 9687]]"
best_random_layout,2-8-5,19435,2,"[[""jan"", 9847], [""man"", 9588]]"
best_random_layout,9,19407,2,"[[""f"", 9788], [""y"", 9619]]"
best_random_layout,5-6-2-7,19231,2,"[[""code"", 9734], [""come"", 9497]]"
best_random_layout,3-6-1-5-0,19137,2,"[[""print"", 9574], [""point"", 9563]]"
best_random_layout,8-6-0,19128,2,"[[""art"", 9663], [""got"", 9465]]"
best_random_layout,2-7-5,19056,2,"[[""men"", 9560], [""dec"", 9496]]"
best_random_layout,5-8-6-7,18973,2,"[[""care"", 9692], [""cars"", 9281]]"
best_frequency_based_layout_frequency_static,3-5,16902385966,2,"[[""of"", 13151952775], [""on"", 3750433191]]"
best_frequency_based_layout_frequency_static,4-5,9661363517,2,"[[""in"", 8469414966], [""if"", 1191948551]]"
best_frequency_based_layout_frequency_static,2,9081203897,3,"[[""a"", 9081184694], [""y"", 9619], [""j"", 9584]]"
best_frequency_based_layout_frequency_static,4,3086254441,3,"[[""i"", 3086235264], [""w"", 9735], [""q"", 9442]]"
best_frequency_based_layout_frequency_static,2-6,2823887838,2,"[[""as"", 2247441718], [""am"", 576446120]]"
best_frequency_based_layout_frequency_static,2-9-9,2022479684,2,"[[""all"", 2022469824], [""add"", 9860]]"
best_frequency_based_layout_frequency_static,5-0-4,1551278043,2,"[[""new"", 1551268617], [""few"", 9426]]"
best_frequency_based_layout_frequency_static,7-3-6-0,1276871635,2,"[[""home"", 1276862138], [""come"", 9497]]"
best_frequency_based_layout_frequency_static,8-1,829989031,2,"[[""up"", 829979321], [""uk"", 9710]]"
best_frequency_based_layout_frequency_static,6-2-2,827841483,2,"[[""may"", 827831978], [""say"", 9505]]"
best_frequency_based_layout_frequency_static,7-4-6,660394887,2,"[[""his"", 660385207], [""him"", 9680]]"
best_frequency_based_layout_frequency_static,7,596642840,2,"[[""c"", 596633159], [""h"", 9681]]"
best_frequency_based_layout_frequency_static,0,593115608,3,"[[""e"", 593096089], [""b"", 9877], [""v"", 9642]]"
best_frequency_based_layout_frequency_static,0-0-0-5,575221055,2,"[[""been"", 575211324], [""even"", 9731]]"
best_frequency_based_layout_frequency_static,4-3-8-9-9,572663944,2,"[[""would"", 572654062], [""world"", 9882]]"
best_frequency_based_layout_frequency_static,3,508638858,3,"[[""x"", 508619426], [""o"", 9732], [""g"", 9700]]"
best_frequency_based_layout_frequency_static,1,29276,3,"[[""t"", 9861], [""p"", 9795], [""k"", 9620]]"
best_frequency_based_layout_frequency_static,5,29085,3,"[[""n"", 9883], [""f"", 9788], [""z"", 9414]]"
best_frequency_based_layout_frequency_static,6,19745,2,"[[""s"", 9911], [""m"", 9834]]"
best_frequency_based_layout_frequency_static,6-2-4-9,19621,2,"[[""said"", 9815], [""mail"", 9806]]"
best_frequency_based_layout_frequency_static,8-0-2-9,19610,2,"[[""read"", 9821], [""real"", 9789]]"
best_frequency_based_layout_frequency_static,9,19581,2,"[[""d"", 9843], [""l"", 9738]]"
best_frequency_based_layout_frequency_static,6-8-7-7,19579,2,"[[""such"", 9857], [""much"", 9722]]"
best_frequency_based_layout_frequency_static,9-4-5-0,19574,2,"[[""life"", 9801], [""line"", 9773]]"
best_frequency_based_layout_frequency_static,1-2-1-0,19521,2,"[[""type"", 9766], [""take"", 9755]]"
best_greedy_optimized_layout,6,3086254895,3,"[[""i"", 3086235264], [""d"", 9843], [""f"", 9788]]"
best_greedy_optimized_layout,5-0-2,2633506639,2,"[[""not"", 2633497125], [""hot"", 9514]]"
best_greedy_optimized_layout,8-7,2059101909,2,"[[""us"", 1229122588], [""up"", 829979321]]"
best_greedy_optimized_layout,6-6,1191967320,3,"[[""if"", 1191948551], [""ii"", 9422], [""id"", 9347]]"
best_greedy_optimized_layout,5-0-4,1183255715,2,"[[""now"", 611397662], [""how"", 571858053]]"
best_greedy_optimized_layout,0-8-2,746157525,2,"[[""out"", 746148122], [""oct"", 9403]]"
best_greedy_optimized_layout,8,596662314,4,"[[""c"", 596633159], [""b"", 9877], [""g"", 9700], [""u"", 9578]]"
best_greedy_optimized_layout,3,593105923,2,"[[""e"", 593096089], [""m"", 9834]]"
best_greedy_optimized_layout,9-6-9-3,520604732,2,"[[""like"", 520595192], [""live"", 9540]]"
best_greedy_optimized_layout,7,508639132,3,"[[""x"", 508619426], [""s"", 9911], [""p"", 9795]]"
best_greedy_optimized_layout,9,57820,6,"[[""r"", 9822], [""l"", 9738], [""v"", 9642], [""k"", 9620], [""j"", 9584], [""z"", 9414]]"
best_greedy_optimized_layout,5,29006,3,"[[""n"", 9883], [""h"", 9681], [""q"", 9442]]"
best_greedy_optimized_layout,2-3-7-2,23151,2,"[[""test"", 13499], [""text"", 9652]]"
best_greedy_optimized_layout,7-3-9-9-3-9,22889,2,"[[""server"", 13495], [""seller"", 9394]]"
best_greedy_optimized_layout,9-0-1-6,20777,2,"[[""load"", 11366], [""road"", 9411]]"
best_greedy_optimized_layout,4-0-9-9,19465,2,"[[""work"", 9876], [""york"", 9589]]"
best_greedy_optimized_layout,4,19354,2,"[[""w"", 9735], [""y"", 9619]]"
best_greedy_optimized_layout,8-0,19196,2,"[[""go"", 9878], [""co"", 9318]]"
best_greedy_optimized_layout,7-1-9-3,19177,2,"[[""save"", 9601], [""sale"", 9576]]"
best_greedy_optimized_layout,9-6-8-5-2,19155,2,"[[""right"", 9767], [""light"", 9388]]"
best_greedy_optimized_layout,9-1-9-8-3,19130,2,"[[""value"", 9591], [""large"", 9539]]"
best_greedy_optimized_layout,6-6-9-3,19044,2,"[[""file"", 9720], [""film"", 9324]]"
best_greedy_optimized_layout,7-1-4,18907,2,"[[""say"", 9505], [""pay"", 9402]]"
best_greedy_optimized_layout,9-0-8,18860,2,"[[""job"", 9572], [""log"", 9288]]"
best_genetic_algorithm_layout,7,9081194516,2,"[[""a"", 9081184694], [""r"", 9822]]"
best_genetic_algorithm_layout,1-6,3789406026,2,"[[""be"", 2398734144], [""we"", 1390671882]]"
best_genetic_algorithm_layout,3,3086254807,3,"[[""i"", 3086235264], [""d"", 9843], [""g"", 9700]]"
best_genetic_algorithm_layout,4-7,2590759296,2,"[[""or"", 2590749890], [""ca"", 9406]]"
best_genetic_algorithm_layout,8-2,1229132298,2,"[[""us"", 1229122588], [""uk"", 9710]]"
best_genetic_algorithm_layout,3-4,911882715,2,"[[""do"", 911872837], [""go"", 9878]]"
best_genetic_algorithm_layout,0-4,910652258,2,"[[""no"", 910642764], [""pc"", 9494]]"
best_genetic_algorithm_layout,4,596652305,3,"[[""c"", 596633159], [""o"", 9732], [""z"", 9414]]"
best_genetic_algorithm_layout,6,593105923,2,"[[""e"", 593096089], [""m"", 9834]]"
best_genetic_algorithm_layout,7-6,576456001,2,"[[""am"", 576446120], [""re"", 9881]]"
best_genetic_algorithm_layout,5,508638952,3,"[[""x"", 508619426], [""f"", 9788], [""l"", 9738]]"
best_genetic_algorithm_layout,1,29231,3,"[[""b"", 9877], [""w"", 9735], [""y"", 9619]]"
best_genetic_algorithm_layout,0,29120,3,"[[""n"", 9883], [""p"", 9795], [""q"", 9442]]"
best_genetic_algorithm_layout,2,29115,3,"[[""s"", 9911], [""k"", 9620], [""j"", 9584]]"
best_genetic_algorithm_layout,5-3-5-6,28845,3,"[[""life"", 9801], [""file"", 9720], [""film"", 9324]]"
best_genetic_algorithm_layout,1-4-7-2,19465,2,"[[""work"", 9876], [""york"", 9589]]"
best_genetic_algorithm_layout,8,19439,2,"[[""t"", 9861], [""u"", 9578]]"
best_genetic_algorithm_layout,3-7-1,19433,2,"[[""day"", 9888], [""gay"", 9545]]"
best_genetic_algorithm_layout,1-6-2-8,19407,2,"[[""best"", 9850], [""west"", 9557]]"
best_genetic_algorithm_layout,6-7-0,19392,2,"[[""map"", 9804], [""man"", 9588]]"
best_genetic_algorithm_layout,2-7-0,19335,2,"[[""jan"", 9847], [""san"", 9488]]"
best_genetic_algorithm_layout,9,19323,2,"[[""h"", 9681], [""v"", 9642]]"
best_genetic_algorithm_layout,8-6-7-6,18877,2,"[[""team"", 9552], [""term"", 9325]]"
best_genetic_algorithm_layout,3-3,18769,2,"[[""ii"", 9422], [""id"", 9347]]"
best_genetic_algorithm_layout,2-6-5-5,18741,2,"[[""sell"", 9437], [""self"", 9304]]"
